filename,rgb_path,fluo_path,registered_rgb_train_path,registered_rgb_visual_path,overlay_path,status,message
00370.jpg,D:\multimodel\data\apply_rgbtest\00370.jpg,D:\multimodel\data\apply_graytest\00370.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00370.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00370.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00370.jpg,success,
00371.jpg,D:\multimodel\data\apply_rgbtest\00371.jpg,D:\multimodel\data\apply_graytest\00371.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00371.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00371.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00371.jpg,success,
00372.jpg,D:\multimodel\data\apply_rgbtest\00372.jpg,D:\multimodel\data\apply_graytest\00372.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00372.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00372.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00372.jpg,success,
00373.jpg,D:\multimodel\data\apply_rgbtest\00373.jpg,D:\multimodel\data\apply_graytest\00373.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00373.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00373.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00373.jpg,success,
00374.jpg,D:\multimodel\data\apply_rgbtest\00374.jpg,D:\multimodel\data\apply_graytest\00374.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00374.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00374.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00374.jpg,success,
00375.jpg,D:\multimodel\data\apply_rgbtest\00375.jpg,D:\multimodel\data\apply_graytest\00375.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00375.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00375.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00375.jpg,success,
00376.jpg,D:\multimodel\data\apply_rgbtest\00376.jpg,D:\multimodel\data\apply_graytest\00376.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00376.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00376.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00376.jpg,success,
00377.jpg,D:\multimodel\data\apply_rgbtest\00377.jpg,D:\multimodel\data\apply_graytest\00377.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00377.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00377.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00377.jpg,success,
00378.jpg,D:\multimodel\data\apply_rgbtest\00378.jpg,D:\multimodel\data\apply_graytest\00378.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00378.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00378.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00378.jpg,success,
00379.jpg,D:\multimodel\data\apply_rgbtest\00379.jpg,D:\multimodel\data\apply_graytest\00379.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00379.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00379.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00379.jpg,success,
00380.jpg,D:\multimodel\data\apply_rgbtest\00380.jpg,D:\multimodel\data\apply_graytest\00380.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00380.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00380.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00380.jpg,success,
00381.jpg,D:\multimodel\data\apply_rgbtest\00381.jpg,D:\multimodel\data\apply_graytest\00381.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00381.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00381.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00381.jpg,success,
00382.jpg,D:\multimodel\data\apply_rgbtest\00382.jpg,D:\multimodel\data\apply_graytest\00382.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00382.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00382.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00382.jpg,success,
00383.jpg,D:\multimodel\data\apply_rgbtest\00383.jpg,D:\multimodel\data\apply_graytest\00383.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00383.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00383.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00383.jpg,success,
00384.jpg,D:\multimodel\data\apply_rgbtest\00384.jpg,D:\multimodel\data\apply_graytest\00384.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00384.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00384.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00384.jpg,success,
00385.jpg,D:\multimodel\data\apply_rgbtest\00385.jpg,D:\multimodel\data\apply_graytest\00385.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00385.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00385.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00385.jpg,success,
00386.jpg,D:\multimodel\data\apply_rgbtest\00386.jpg,D:\multimodel\data\apply_graytest\00386.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00386.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00386.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00386.jpg,success,
00387.jpg,D:\multimodel\data\apply_rgbtest\00387.jpg,D:\multimodel\data\apply_graytest\00387.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00387.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00387.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00387.jpg,success,
00388.jpg,D:\multimodel\data\apply_rgbtest\00388.jpg,D:\multimodel\data\apply_graytest\00388.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00388.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00388.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00388.jpg,success,
00389.jpg,D:\multimodel\data\apply_rgbtest\00389.jpg,D:\multimodel\data\apply_graytest\00389.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00389.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00389.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00389.jpg,success,
00390.jpg,D:\multimodel\data\apply_rgbtest\00390.jpg,D:\multimodel\data\apply_graytest\00390.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00390.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00390.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00390.jpg,success,
00391.jpg,D:\multimodel\data\apply_rgbtest\00391.jpg,D:\multimodel\data\apply_graytest\00391.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00391.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00391.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00391.jpg,success,
00392.jpg,D:\multimodel\data\apply_rgbtest\00392.jpg,D:\multimodel\data\apply_graytest\00392.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00392.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00392.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00392.jpg,success,
00393.jpg,D:\multimodel\data\apply_rgbtest\00393.jpg,D:\multimodel\data\apply_graytest\00393.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00393.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00393.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00393.jpg,success,
00394.jpg,D:\multimodel\data\apply_rgbtest\00394.jpg,D:\multimodel\data\apply_graytest\00394.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00394.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00394.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00394.jpg,success,
00395.jpg,D:\multimodel\data\apply_rgbtest\00395.jpg,D:\multimodel\data\apply_graytest\00395.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00395.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00395.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00395.jpg,success,
00396.jpg,D:\multimodel\data\apply_rgbtest\00396.jpg,D:\multimodel\data\apply_graytest\00396.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00396.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00396.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00396.jpg,success,
00397.jpg,D:\multimodel\data\apply_rgbtest\00397.jpg,D:\multimodel\data\apply_graytest\00397.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00397.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00397.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00397.jpg,success,
00398.jpg,D:\multimodel\data\apply_rgbtest\00398.jpg,D:\multimodel\data\apply_graytest\00398.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00398.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00398.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00398.jpg,success,
00399.jpg,D:\multimodel\data\apply_rgbtest\00399.jpg,D:\multimodel\data\apply_graytest\00399.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00399.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00399.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00399.jpg,success,
00400.jpg,D:\multimodel\data\apply_rgbtest\00400.jpg,D:\multimodel\data\apply_graytest\00400.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00400.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00400.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00400.jpg,success,
00401.jpg,D:\multimodel\data\apply_rgbtest\00401.jpg,D:\multimodel\data\apply_graytest\00401.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00401.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00401.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00401.jpg,success,
00402.jpg,D:\multimodel\data\apply_rgbtest\00402.jpg,D:\multimodel\data\apply_graytest\00402.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00402.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00402.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00402.jpg,success,
00403.jpg,D:\multimodel\data\apply_rgbtest\00403.jpg,D:\multimodel\data\apply_graytest\00403.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00403.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00403.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00403.jpg,success,
00404.jpg,D:\multimodel\data\apply_rgbtest\00404.jpg,D:\multimodel\data\apply_graytest\00404.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00404.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00404.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00404.jpg,success,
00405.jpg,D:\multimodel\data\apply_rgbtest\00405.jpg,D:\multimodel\data\apply_graytest\00405.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00405.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00405.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00405.jpg,success,
00406.jpg,D:\multimodel\data\apply_rgbtest\00406.jpg,D:\multimodel\data\apply_graytest\00406.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00406.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00406.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00406.jpg,success,
00407.jpg,D:\multimodel\data\apply_rgbtest\00407.jpg,D:\multimodel\data\apply_graytest\00407.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00407.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00407.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00407.jpg,success,
00408.jpg,D:\multimodel\data\apply_rgbtest\00408.jpg,D:\multimodel\data\apply_graytest\00408.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00408.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00408.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00408.jpg,success,
00409.jpg,D:\multimodel\data\apply_rgbtest\00409.jpg,D:\multimodel\data\apply_graytest\00409.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00409.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00409.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00409.jpg,success,
00410.jpg,D:\multimodel\data\apply_rgbtest\00410.jpg,D:\multimodel\data\apply_graytest\00410.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00410.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00410.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00410.jpg,success,
00411.jpg,D:\multimodel\data\apply_rgbtest\00411.jpg,D:\multimodel\data\apply_graytest\00411.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00411.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00411.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00411.jpg,success,
00412.jpg,D:\multimodel\data\apply_rgbtest\00412.jpg,D:\multimodel\data\apply_graytest\00412.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00412.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00412.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00412.jpg,success,
00413.jpg,D:\multimodel\data\apply_rgbtest\00413.jpg,D:\multimodel\data\apply_graytest\00413.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00413.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00413.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00413.jpg,success,
00414.jpg,D:\multimodel\data\apply_rgbtest\00414.jpg,D:\multimodel\data\apply_graytest\00414.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00414.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00414.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00414.jpg,success,
00415.jpg,D:\multimodel\data\apply_rgbtest\00415.jpg,D:\multimodel\data\apply_graytest\00415.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00415.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00415.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00415.jpg,success,
00416.jpg,D:\multimodel\data\apply_rgbtest\00416.jpg,D:\multimodel\data\apply_graytest\00416.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00416.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00416.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00416.jpg,success,
00417.jpg,D:\multimodel\data\apply_rgbtest\00417.jpg,D:\multimodel\data\apply_graytest\00417.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00417.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00417.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00417.jpg,success,
00418.jpg,D:\multimodel\data\apply_rgbtest\00418.jpg,D:\multimodel\data\apply_graytest\00418.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00418.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00418.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00418.jpg,success,
00419.jpg,D:\multimodel\data\apply_rgbtest\00419.jpg,D:\multimodel\data\apply_graytest\00419.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00419.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00419.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00419.jpg,success,
00420.jpg,D:\multimodel\data\apply_rgbtest\00420.jpg,D:\multimodel\data\apply_graytest\00420.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00420.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00420.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00420.jpg,success,
00421.jpg,D:\multimodel\data\apply_rgbtest\00421.jpg,D:\multimodel\data\apply_graytest\00421.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00421.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00421.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00421.jpg,success,
00422.jpg,D:\multimodel\data\apply_rgbtest\00422.jpg,D:\multimodel\data\apply_graytest\00422.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00422.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00422.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00422.jpg,success,
00423.jpg,D:\multimodel\data\apply_rgbtest\00423.jpg,D:\multimodel\data\apply_graytest\00423.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00423.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00423.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00423.jpg,success,
00424.jpg,D:\multimodel\data\apply_rgbtest\00424.jpg,D:\multimodel\data\apply_graytest\00424.jpg,D:\multimodel\data\APPLY_RGB\apply\registered_rgb_for_train\00424.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\registered_rgb_00424.jpg,D:\multimodel\data\APPLY_RGB\apply\visualization\overlay_00424.jpg,success,
